,drug,count
0,laboratory biomarker analysis,3141
1,placebo,2409
2,cyclophosphamide,1950
3,cisplatin,1705
4,paclitaxel,1551
5,carboplatin,1526
6,radiation therapy,1363
7,docetaxel,1202
8,bevacizumab,1087
9,gemcitabine,990
10,dexamethasone,980
11,pharmacological study,969
12,rituximab,955
13,etoposide,862
14,capecitabine,835
15,quality-of-life assessment,777
16,oxaliplatin,771
17,pembrolizumab,741
18,cytarabine,720
19,filgrastim,698
20,nivolumab,684
21,questionnaire administration,682
22,prednisone,600
23,fluorouracil,572
24,methotrexate,566
25,lenalidomide,563
26,cetuximab,534
27,temozolomide,533
28,bortezomib,498
29,doxorubicin hydrochloride,497
30,melphalan,489
31,fludarabine,471
32,trastuzumab,464
33,peripheral blood stem cell transplantation,459
34,gemcitabine hydrochloride,450
35,conventional surgery,434
36,doxorubicin,430
37,radiotherapy,415
38,pemetrexed,398
39,vincristine sulfate,398
40,ipilimumab,396
41,irinotecan,395
42,leucovorin calcium,355
43,erlotinib,340
44,everolimus,334
45,chemotherapy,319
46,fludarabine phosphate,308
47,sorafenib,303
48,busulfan,296
49,therapeutic conventional surgery,294
50,irinotecan hydrochloride,293
51,adjuvant therapy,282
52,vincristine,279
53,ifosfamide,271
54,letrozole,265
55,questionnaires,264
56,aldesleukin,251
57,surgery,249
58,sargramostim,240
59,dasatinib,237
60,immunohistochemistry staining method,235
61,biopsy,234
62,nab-paclitaxel,232
63,leucovorin,231
64,5-fluorouracil,227
65,gene expression analysis,226
66,azacitidine,222
67,durvalumab,222
68,thalidomide,219
69,atezolizumab,218
70,cyclosporine,214
71,metformin,210
72,questionnaire,207
73,tacrolimus,205
74,vorinostat,202
75,gefitinib,202
76,positron emission tomography,201
77,ibrutinib,201
78,radiation,198
79,mycophenolate mofetil,198
80,decitabine,197
81,sunitinib,194
82,neoadjuvant therapy,194
83,fulvestrant,184
84,imatinib mesylate,184
85,computed tomography,175
86,erlotinib hydrochloride,175
87,temsirolimus,167
88,apatinib,165
89,polymerase chain reaction,163
90,celecoxib,159
91,vinorelbine,158
92,pegfilgrastim,157
93,exemestane,156
94,olaparib,155
95,bendamustine,155
96,idarubicin,152
97,enzalutamide,152
98,intensity-modulated radiation therapy,151
99,allogeneic hematopoietic stem cell transplantation,149
100,avelumab,148
101,carmustine,148
102,magnetic resonance imaging,146
103,educational intervention,145
104,thiotepa,145
105,flow cytometry,144
106,g-csf,143
107,zoledronic acid,142
108,topotecan hydrochloride,141
109,allogeneic bone marrow transplantation,141
110,lapatinib,138
111,pazopanib,137
112,topotecan,137
113,sorafenib tosylate,136
114,anastrozole,136
115,carfilzomib,134
116,sirolimus,131
117,epirubicin,128
118,panitumumab,128
119,clofarabine,124
120,medical chart review,122
121,palbociclib,121
122,brentuximab vedotin,118
123,polymorphism analysis,118
124,microarray analysis,118
125,tamoxifen,118
126,sunitinib malate,118
127,mutation analysis,118
128,stereotactic body radiation therapy,118
129,protein expression analysis,117
130,mitoxantrone hydrochloride,117
131,5-fu,117
132,total-body irradiation,117
133,anti-thymocyte globulin,116
134,venetoclax,116
135,trametinib,116
136,no intervention,115
137,daunorubicin hydrochloride,115
138,psychosocial assessment and care,114
139,mesna,114
140,tremelimumab,113
141,dacarbazine,111
142,mri,111
143,management of therapy complications,109
144,mercaptopurine,108
145,pertuzumab,108
146,recombinant interferon alfa,108
147,bicalutamide,107
148,abiraterone acetate,105
149,brachytherapy,105
150,methylprednisolone,103
151,tamoxifen citrate,103
152,pomalidomide,103
153,obinutuzumab,102
154,degarelix,101
155,ixabepilone,100
156,exercise intervention,100
157,autologous bone marrow transplantation,98
158,usual care,97
159,exercise,97
160,arsenic trioxide,96
161,3-dimensional conformal radiation therapy,95
162,autologous hematopoietic stem cell transplantation,94
163,survey administration,94
164,s-1,93
165,daratumumab,92
